paradisaical: paradisiacal 
headpin: pinhead 
deanship: headpins pinheads 
danishes: shandies 
rhapsodies: rhapsodise 
aphrodite: atrophied 
hardier: harried 
dishware: rawhides 
hadjes: jehads 
handel: handle 
handles: handsel 
shetland: stendhal 
hassled: slashed 
halted: lathed 
methadon: thanedom 
mashed: shamed 
handovers: overhands 
handover: overhand 
dorothea: theodora 
phrased: sharped shepard 
phased: shaped 
hared: heard 
dearths: hardest hatreds threads trashed 
dearth: hatred thread 
hydrate: thready 
hades: heads 
deaths: hasted 
death: hated 
hayed: heady 
aide: idea 
dietitian: initiated 
idealism: miladies 
depositional: despoliation 
editorials: idolatries 
dailies: liaised 
admissive: misadvise 
partitioned: trepidation 
dispraiser: disrepairs 
dairies: diaries 
aristides: satirised 
kidnapers: spikenard 
ailed: delia ideal 
pallider: pillared 
dallier: rallied 
dallies: sallied 
maidenly: medianly 
misdeal: mislead 
misdeals: misleads 
medalist: misdealt 
alined: daniel delian denali denial nailed 
idolaters: steroidal 
idolater: tailored 
diastole: isolated 
dovetail: violated 
platitudes: stipulated 
derail: dialer railed redial relaid 
derails: redials 
trailed: trialed 
ideals: ladies sailed 
details: dilates 
altitudes: latitudes 
detail: dilate tailed 
altitude: latitude 
aimed: amide media 
maiden: median medina 
dominates: maidstone 
maidens: medians sideman 
amortised: mediators 
admire: merida 
admirer: married 
admirers: marrieds 
admires: misread sidearm 
misreads: sidearms 
amides: medias 
mideast: misdate 
andine: dianne nadine 
denotations: detonations 
denotation: detonation 
inundates: unstained 
ordinate: rationed 
antidotes: stationed 
unpaired: unrepaid 
dairen: denari derain rained 
drainer: randier 
sandier: sardine 
aridness: sardines 
randiest: strained 
eridanus: unraised 
indurate: urinated 
detains: instead sainted stained 
dwaine: edwina 
isadore: roadies 
diaper: paired repaid 
parried: rapider 
aspired: despair diapers praised 
rapidest: traipsed 
partied: pirated 
aider: aired 
tardier: tarried 
astride: staider tirades 
striated: tardiest 
aides: aside ideas sadie 
asides: daises 
distaste: staidest 
sideways: waysides 
advise: visaed 
adjusters: readjusts 
adjuster: readjust 
knead: naked 
danker: darken narked ranked 
kneads: snaked 
kayoed: okayed 
drake: raked 
skated: staked tasked 
dale: deal lade 
lead: leda 
patrolled: portalled 
allotted: totalled 
ardell: ladler 
lamed: medal 
delmar: dermal 
damsel: medals 
alden: eland laden 
delano: loaned 
slander: snarled 
launder: lurdane 
leopard: paroled 
laredo: loader ordeal reload 
loaders: ordeals reloads 
leotards: lodestar 
dapples: slapped 
lapsed: pedals pleads 
adler: alder 
darrel: larder 
dales: deals lades leads 
deltas: desalt lasted salted slated staled 
salved: slaved 
delays: slayed 
dealt: delta 
waled: weald 
daley: delay 
dame: edam made mead 
admen: amend maned medan named 
mundane: unnamed 
daemon: moaned modena 
namedrop: pomander 
namedrops: pomanders 
underarm: unmarred 
manured: maunder unarmed 
samoyed: someday 
dampest: stamped 
armed: derma dream 
dames: meads 
amused: medusa 
mated: tamed 
aden: dane dean dena edna 
annoyed: anodyne 
aproned: operand padrone 
atoned: donate 
append: napped 
appends: snapped 
prawned: predawn 
expands: spandex 
panted: pedant 
andre: arden denar nader 
darner: errand 
darners: errands 
sander: snared 
asunder: danseur 
wanders: wardens 
ardent: ranted 
natured: unrated 
neruda: unread 
andrew: wander warden warned 
andes: deans sedan 
unstated: untasted 
anted: dante 
attuned: taunted 
auden: duane 
awned: waned 
dwayne: yawned 
predators: teardrops 
parroted: predator prorated teardrop 
portrayed: predatory 
adopters: readopts 
adopter: readopt 
adore: oared oread 
adorer: roared 
adores: soared 
dapper: rapped 
drape: padre pared raped 
draper: parred 
drapers: sparred 
drapes: padres parsed rasped spader spared spread 
departs: petards 
depart: parted petard prated 
passed: spades 
adepts: pasted 
adept: taped 
dare: dear 
darer: drear 
darters: retards starred traders 
drawers: redraws rewards warders 
darter: retard tarred trader 
drawer: redraw reward warder warred 
arsed: dares dears reads 
daters: stared trades treads 
adverts: starved 
seward: waders 
dater: rated tared trade 
deary: ready 
dates: sated stead 
stated: tasted 
stayed: steady 
dawes: sawed wades 
adzes: dazes 
dave: veda 
awed: wade 
adze: daze 
handoff: offhand 
handfuls: handsful 
forwardly: frowardly 
forward: froward 
dag: gad 
grading: niggard 
dashing: shading 
darling: larding 
languid: lauding 
darting: trading 
drawing: warding 
danzig: dazing 
aground: durango 
dago: goad 
dagos: goads 
drag: grad 
drags: grads 
durga: guard 
dags: gads 
hasidism: hassidim 
hadji: jihad 
hadjis: jihads 
haploids: shipload 
ladyships: ladyships 
honduras: rhodanus 
handouts: thousand 
handy: haydn 
hardtops: potshard 
hoard: rhoda 
hardy: hydra 
dash: shad 
aid: ida 
misdial: mislaid 
admonitions: dominations 
admonition: domination 
kidnaps: skidpan 
dali: dial laid 
lorinda: ordinal 
ordinals: rosalind 
adroitly: dilatory idolatry 
valid: vidal 
daily: lydia 
amid: maid 
monadism: nomadism 
daimon: domain 
domains: madison 
diatoms: mastoid 
maids: midas 
admits: amidst 
dian: dina 
inroad: ordain 
inroads: ordains sadiron 
dinar: drain nadir 
dinars: drains nadirs 
darwin: inward 
divans: viands 
divan: viand 
isador: radios 
arid: raid 
astrid: triads 
darius: radius 
dairy: diary 
aids: dais dias said 
davis: divas 
avid: diva vida 
roadworks: roadworks 
vodkas: vodkas 
moorlands: moorlands 
donal: ndola nodal 
arnold: roland ronald 
dylan: lynda 
swordplay: wordplays 
daryl: lardy 
auld: dual laud luda 
dam: mad 
monad: nomad 
doorman: madrono 
dormant: mordant 
damson: nomads 
dynamo: monday 
stardom: tsardom 
dams: mads 
and: dan 
donator: tornado 
adorn: radon ronda 
adorns: andros radons sondra 
outdrawn: untoward 
dustpans: standups 
dustpan: standup 
darn: nard rand 
durant: tundra 
sudan: sunda 
dawns: wands 
dawn: wand 
dora: odra 
outdraws: outwards 
outdraw: outward 
ados: soda 
toady: today 
quads: squad 
ards: rads 
draws: sward wards 
drays: yards 
dart: drat trad 
draw: ward 
dray: yard 
ads: sad 
attentivenesses: tentativenesses 
statelessnesses: tastelessnesses 
theatergoers: theatregoers 
theatergoer: theatregoer 
generates: teenagers 
generate: teenager 
eagerest: steerage 
earthinesses: heartinesses 
haplessnesses: shapelessness 
attentiveness: tentativeness 
lamenesses: malenesses 
statelessness: tastelessness 
enervates: venerates 
enervate: venerate 
repartees: repeaters 
repartee: repeater 
persiflage: pilferages 
fealties: leafiest 
faeries: freesia 
forenames: freemason 
fasteners: refastens 
fastener: refasten 
rehearings: rehearsing 
restraighten: straightener 
gatherers: regathers 
gatherer: regather 
gainesville: villeinages 
legalities: legalities 
regularities: regularities 
interrogatives: tergiversation 
integrative: vinaigrette 
allergies: galleries 
enameling: meningeal 
eglantine: inelegant 
releasing: resealing 
ensilage: lineages 
agileness: ensilages 
gelatine: legatine 
impregnate: permeating 
argentine: tangerine 
enervating: venerating 
orangeries: reorganise 
argentite: integrate 
enlarge: general gleaner 
enlarges: generals gleaners 
galere: regale 
eaglets: legates 
eaglet: legate 
manege: menage 
maneges: menages 
meager: meagre 
gamester: meagrest 
enrage: genera 
estranges: greatness sergeants 
estrange: grantees reagents sergeant 
avengers: engraves 
grantee: reagent 
avenger: engrave 
avenge: geneva 
agree: eager 
agrees: grease 
earthliest: stealthier 
empathies: empathise 
earthiness: heartiness 
apheresis: pharisees 
earthier: heartier 
earthiest: heartiest 
leathers: leathers 
resharpen: sharpener 
resharpens: sharpeners 
earthen: hearten teheran 
athene: ethane 
seahorse: seashore 
seahorses: seashores 
housewares: warehouses 
euphrates: superheat 
hearer: rehear 
hearers: rehears shearer 
heaters: reheats theresa 
theaters: theatres 
weathers: wreathes 
heater: reheat 
theater: theatre thereat 
weather: whereat wreathe 
heaves: sheave 
israelite: realities 
imperatives: semiprivate 
asperities: patisserie 
jeanine: jeannie 
alikeness: leakiness 
alinements: lineaments 
entailments: sentimental 
alinement: lineament 
marilee: mealier 
maliseet: mealiest 
aileen: elaine 
levantine: valentine 
explainer: reexplain 
palestine: penalties tapelines 
saltinesses: stainlesses 
lazinesses: sleaziness 
attentively: tentatively 
ateliers: earliest realties 
literates: statelier 
relatives: versatile 
realizes: sleazier 
asymmetries: asymmetries 
enumerations: mountaineers 
enumeration: mountaineer 
impersonate: permeations 
amnesties: meatiness 
masteries: smeariest 
emirates: steamier 
emerita: emirate meatier 
estimates: steamiest 
estimate: meatiest teatimes 
penetrations: presentation 
enervations: venerations 
enervation: veneration 
entertains: tenantries 
retainers: ternaries 
eritrean: retainer 
irateness: teariness 
retinae: trainee 
attentive: tentative 
evaporite: operative 
appetiser: paperiest 
striptease: tapestries 
eritrea: tearier 
aeries: easier 
iterates: teariest treaties treatise 
sweatier: weariest 
jayvee: veejay 
rewaken: wakener 
overtakes: takeovers 
overtake: takeover 
walleyes: weaselly 
lameness: maleness nameless salesmen 
example: exempla 
meatless: tameless 
arleen: arlene leaner 
learner: relearn 
learners: relearns 
enteral: eternal 
enslave: leavens 
leaper: repeal 
leapers: relapse repeals 
saltpeters: saltpetres 
saltpeter: saltpetre 
asleep: elapse please 
elapses: pleases 
leaser: reales resale reseal sealer 
earless: leasers resales reseals sealers 
realest: relates stealer 
leavers: reveals several 
leaver: reveal 
easel: lease 
easels: leases 
stateless: tasteless 
elates: stelae teasel 
teazels: teazles 
teazel: teazle 
enema: nemea 
meaner: rename 
enemas: seamen 
massenet: tameness 
statements: testaments 
statement: testament 
tampere: tempera 
remasters: streamers 
remaster: streamer 
measures: reassume 
penetrant: repentant 
ensnares: nearness 
annette: nanette 
esperanto: personate 
enervator: venerator 
earner: nearer 
assenter: earnests 
earnest: eastern nearest 
astuteness: tautnesses 
sateens: senates sensate 
santee: sateen senate 
operettas: poetaster 
overate: overeat 
paperer: prepare 
paperers: prepares 
reapers: spearer 
pareses: serapes 
pareve: repave 
arrester: rearrest 
asserter: reassert 
erasures: reassure 
austerer: treasure 
swearer: wearers 
retreat: treater 
erase: saree 
erases: sarees 
teasers: tessera 
easter: eaters teaser teresa 
restate: retaste 
arete: eater 
affirmer: reaffirm 
restaffs: staffers 
restaff: staffer 
finagle: leafing 
faltering: reflating 
faithless: flashiest 
fashioner: refashion 
fashioners: refashions 
infestation: sinfonietta 
florentia: reflation 
fannie: fenian 
faker: freak 
fakers: freaks 
fakery: freaky 
flea: leaf 
formulae: fumarole 
teaspoonfuls: teaspoonsful 
florae: loafer 
floater: refloat 
feral: flare 
falser: flares 
earfuls: refusal 
refutal: tearful 
false: fleas leafs 
falsest: fatless 
flatuses: sulfates 
farmer: framer 
farmers: framers 
fastens: fatness 
fasten: stefan 
fare: fear 
rafters: strafer 
fares: fears safer 
afters: faster strafe 
faery: fayer freya 
feasts: safest 
fates: feast feats fetas 
fayest: safety 
fate: feat feta 
ganglier: regaling 
angering: enraging 
georgian: georgina 
gearings: greasing 
gargle: lagger 
grange: nagger 
granges: naggers 
stagger: taggers 
aggeus: gauges 
photographers: rephotographs 
photographer: rephotograph 
hankering: harkening 
anthologies: theologians 
earthlings: slathering 
earthling: haltering lathering 
shattering: straighten 
earthing: ingather 
nightwear: wreathing 
laughters: slaughter 
heptagons: pathogens 
heptagon: pathogen 
hangovers: overhangs 
hangover: overhang 
hanger: rehang 
hangers: rehangs 
petrography: typographer 
genitival: vigilante 
impersonating: impregnations 
integration: orientating 
pertaining: repainting 
reinstating: straitening 
leaking: linkage 
legalism: millages 
granville: ravelling 
allegorists: legislators 
allegorist: legislator 
pillages: spillage 
legalist: tillages 
alignment: lamenting 
germinal: maligner malinger 
ealing: genial linage 
regulation: urogenital 
leaping: pealing 
parleying: replaying 
elapsing: pleasing 
aligner: realign 
aligners: realigns salinger signaler slangier 
integrals: triangles 
starveling: travelings 
layerings: searingly yearlings 
alerting: altering integral relating triangle 
layering: relaying yearling 
leasing: linages sealing 
slangiest: tasseling 
gelatins: genitals stealing 
leavings: svengali 
elating: gelatin genital 
apologies: apologise 
gisela: silage 
agilest: ligates 
enigma: gamine 
pampering: remapping 
mangier: reaming 
emigrants: mastering streaming 
geraniums: measuring 
enigmas: gamines seaming 
mangiest: mintages steaming 
mintage: teaming 
gamier: margie mirage 
migrates: ragtimes 
migrate: ragtime 
ageism: images 
antigone: negation 
earning: grannie nearing 
earnings: grannies 
angriness: ranginess 
assenting: tanginess 
antigens: gentians 
guanines: sanguine 
anteing: antigen gentian 
anguine: guanine guinean 
agonies: agonise 
angrier: earring 
regain: regina 
rangier: rearing 
registrant: restarting 
erasing: gainers regains 
assigners: reassigns 
angriest: gantries granites ingrates rangiest tangiers 
granite: ingrate tangier tearing 
twangier: watering 
assessing: gassiness 
giantess: seatings 
seating: teasing 
gaiters: stagier triages 
aigret: gaiter triage 
gael: gale 
allergy: gallery largely regally 
galluses: seagulls 
legman: mangle 
gamely: gleamy 
angel: angle galen glean 
wanglers: wrangles 
wangler: wrangle 
angels: angles gleans 
galore: gaoler 
alger: elgar glare lager large regal 
glares: lagers larges 
game: mega 
gammer: gramme 
mange: megan 
magnetos: megatons montages 
magneto: megaton montage 
engram: german manger 
engrams: mangers 
gasmen: manges 
augments: mutagens 
augment: mutagen 
programer: reprogram 
programers: reprograms 
gamer: marge 
argonne: garonne 
anger: range 
garner: ranger 
garners: rangers 
granters: stranger 
angers: ranges sanger 
argents: garnets sargent strange 
argent: garnet 
gnawer: wagner 
gestapos: postages 
gestapo: postage 
gatepost: pottages 
garotes: storage 
garote: tagore 
gape: page 
grape: pager 
grapes: pagers sparge 
gapes: gaspe pages 
gear: rage 
garrets: garters graters 
garret: garter grater 
gears: rages sager sarge 
grates: greats 
grayest: gyrates 
argues: augers 
gazers: grazes 
gater: grate great greta 
argue: auger 
gazer: graze 
ages: sage 
gases: sages 
sagest: stages 
gates: stage 
gayest: stagey 
agues: usage 
gave: vega 
heavyish: yeshivah 
harshest: thrashes 
heaths: sheath 
histamine: thiamines 
hernial: inhaler 
earthily: heartily 
elisha: sheila shelia 
harmonies: harmonise 
emphasis: misshape 
shipmates: steamship 
sympathies: sympathise 
hernias: nearish 
epitaphs: happiest 
harpies: sharpie 
parishes: sharpies 
swarthiest: sweatshirt 
atheists: hastiest 
hanker: harken 
hankers: harkens 
hakes: shake 
hale: heal leah 
harlem: mahler 
hamlet: thelma 
hapless: plashes 
halters: lathers slather 
halter: lather 
earthly: lathery 
hales: heals leash sahel shale 
hassle: lashes shales 
hassles: slashes 
halest: lathes thales 
whales: wheals 
ashley: halsey shaley 
halve: havel 
whale: wheal 
hammers: shammer 
horseman: menorahs 
arnhem: herman 
harems: masher shmear 
marshes: mashers smasher 
amherst: hamster 
mashes: shames 
haunters: unearths 
anther: tehran 
haunter: unearth 
ashen: shane 
athens: hasten thanes 
havens: shaven 
ethan: neath thane 
pathoses: potashes 
ashore: hoarse 
earshots: hoarsest 
phrase: seraph shaper sherpa 
phrases: seraphs 
heaps: phase shape 
phases: shapes 
hare: hear hera rhea 
rasher: sharer 
rashers: sharers 
hares: hears rheas share shear 
rashes: shares shears 
rashest: trashes 
hawsers: washers 
earths: haters hearst hearts 
hatters: shatter threats 
hawser: rewash washer 
earth: harte hater heart herat rathe 
hatter: threat 
earthy: hearty 
haste: hates heats 
swathe: wheats 
haves: shave 
hayes: yeahs 
hate: heat 
militaries: militarise 
sterilizations: sterilizations 
eliminators: normalities orientalism 
alienist: litanies 
solitaires: solitaries 
liaises: silesia 
airtimes: seriatim 
annuities: insinuate 
estivation: novitiates 
inertias: rainiest 
sanities: sanitise 
parities: parities 
satirise: tiresias 
ratlike: talkier 
aiken: kenai 
ileal: leila lelia 
millstream: smalltimer 
literals: talliers 
literal: tallier 
allies: sallie 
melian: menial 
lineman: melanin 
linesman: melanins 
laminose: semolina 
melanosis: semolinas 
manlier: mineral 
terminals: tramlines 
menials: seminal 
ailments: aliments manliest 
ailment: aliment 
loamier: morelia 
impaler: lempira palmier 
mailers: realism 
emails: mesial 
aimless: melissa 
mutilates: stimulate ultimates 
mutilate: ultimate 
alien: aline 
antinovel: valentino 
potentials: potentials 
aileron: loraine 
orientals: relations 
oriental: relation tirolean 
elations: toenails 
elation: toenail 
alpine: nepali pineal 
plainer: praline 
interplay: painterly 
panelist: plainest 
arline: linear nailer 
entrails: latrines ratlines 
latrine: ratline reliant retinal 
aliens: alines saline 
saltiness: stainless 
salients: saltines 
entails: salient saltine 
paltrier: pretrial 
quartile: requital 
retrials: trailers 
retrial: trailer 
realist: retails saltier 
irately: reality tearily 
aisle: elias 
aisles: lassie 
summaries: summarise 
amine: anime maine 
mensuration: numerations 
minnesota: nominates 
importunate: permutation 
moraine: romaine 
moraines: romaines romaines 
airmen: mainer marine remain 
marines: remains seminar 
minarets: raiments 
antiserum: ruminates 
aneurism: sumerian suriname 
minaret: raiment 
amiens: inseam 
inseams: messina 
inmates: samnite 
amenity: anytime 
maxine: xiamen 
amortizes: atomizers 
amortize: atomizer 
marie: ramie 
armies: ramies 
artemis: maestri 
annie: inane 
innovates: venations 
innovate: venation 
instanter: intranets transient 
tyrannies: tyrannise 
insane: sienna 
atropines: patronise 
assertion: senoritas 
notaries: senorita 
napier: panier rapine 
terrapins: transpire 
paniers: persian rapines 
painters: pantries pertains repaints 
painter: pertain repaint 
panties: sapient 
pantie: petain 
antiquer: quainter 
restrains: strainers 
restrain: retrains strainer terrains trainers 
retrain: terrain trainer 
arisen: sarnie 
artiness: retsinas 
rattiness: resistant straitens 
antsier: nastier retains retinas retsina 
nitrates: straiten 
retain: retina tirane 
nattier: nitrate 
taurine: urinate 
tawnier: tinware 
naiver: ravine vainer 
aisne: anise 
sestina: tansies 
antsiest: instates nastiest 
naivest: natives vainest 
naevi: naive 
pretoria: priorate 
apprise: sappier 
rapier: repair 
aspirer: parries rapiers raspier repairs 
aspire: persia praise 
aspires: paresis 
praises: spireas 
pastries: piasters piastres raspiest traipses 
parties: pastier piaster piastre pirates traipse 
piraeus: upraise 
pasties: patsies 
raiser: sierra 
raisers: sierras 
artsier: tarries 
arrive: rivera 
aries: arise raise 
arises: raises 
artistes: artsiest 
satire: striae 
artiest: artiste attires striate tastier 
rattiest: tartiest 
waiters: wariest 
tattier: titrate 
waiver: wavier 
jane: jean jena 
kale: lake leak 
lanker: rankle 
anklets: lankest 
stalker: talkers 
kales: lakes leaks slake 
kame: make 
kerman: menkar 
teamworks: workmates 
teamwork: workmate 
maker: merak 
marker: remark 
markers: remarks 
makers: masker 
rankest: tankers 
swanker: wankers 
newark: wanker 
snake: sneak 
snakes: sneaks 
outtakes: stakeout takeouts 
outtake: takeout 
peaks: spake speak 
quakes: squeak 
asker: rakes 
skaters: streaks 
skater: streak takers 
skates: stakes steaks 
keats: skate stake steak takes teaks 
askew: wakes 
kate: take teak 
wake: weak 
ale: lea 
ella: lela 
allover: overall 
allures: laurels 
allure: laurel 
elam: lame male meal 
neoplasm: pleonasm 
neoplasms: pleonasms 
mensural: numerals 
laments: mantels mantles 
lament: mantel mantle mental 
laymen: manley meanly namely 
salerooms: salesroom 
ample: maple 
ampler: palmer 
maples: sample 
lamer: realm 
armlet: martel 
lames: males meals salem selma 
lamest: metals 
melva: velma 
elan: lane lean lena neal 
alone: anole leona 
lenora: loaner 
loaners: orleans salerno 
ornately: tyrolean 
nepal: panel penal plane plena 
planters: replants 
purslane: supernal 
planter: replant 
naples: panels planes 
planets: platens 
planet: platen 
aplenty: penalty 
arlen: larne learn renal 
antlers: rentals 
antler: learnt rental 
neutral: renault 
lauren: neural unreal 
lavern: vernal 
elans: lanes leans 
sensual: unseals 
latent: talent 
navel: venal 
espousal: sepalous 
realtor: relator 
layovers: overlays 
layover: overlay 
leap: pale 
peal: plea 
rappels: slapper 
applets: lappets 
applet: lappet 
paler: pearl 
lapser: pearls 
plasters: staplers 
parsleys: sparsely 
plaster: psalter stapler 
platters: prattles splatter 
parleys: parsley players replays sparely 
platter: prattle 
parley: pearly player replay 
lapse: leaps pales peals pleas sepal 
lapses: passel sepals 
passels: sapless 
pastels: staples 
palest: pastel petals plates pleats staple 
leapt: lepta petal plate pleat 
equals: squeal 
equal: quale 
earl: lear rale real 
earls: lares laser rales 
starlets: startles 
salvers: slavers 
alerts: alters salter staler 
latters: rattles starlet startle 
travels: varlets 
ravels: salver slaver velars 
layers: relays slayer 
alert: alter later taler 
latter: rattle 
tartlet: tattler 
travel: varlet 
ravel: velar 
lawyer: warley 
laxer: relax 
early: layer leary relay 
ales: elsa leas sale seal 
sales: seals 
leasts: slates stales steals tassel 
latests: saltest stalest 
salutes: taluses 
salves: slaves 
least: slate stael stale steal stela tales teals tesla 
latest: lattes 
valets: vestal 
exalts: laxest 
laves: salve slave vales valse veals 
swale: wales weals 
lazes: zeals 
late: tale teal 
exalt: latex 
elva: lave leva vale veal vela 
wale: weal 
alex: axle 
laze: zeal 
manometry: momentary 
amen: mane mean name 
enamor: moaner morean 
enamors: moaners oarsmen 
monastery: oysterman 
marne: namer ramen 
martens: smarten 
manures: surname 
manes: manse means mensa names 
mantes: stamen 
ament: manet meant 
remora: roamer 
mapper: pamper 
mappers: pampers 
stamper: tampers 
tempuras: upstream 
revamp: vamper 
marques: masquer 
erma: mare ream 
armrest: smarter 
rewarms: warmers 
erratum: maturer 
rewarm: warmer 
mares: maser reams 
ramses: smears 
masters: streams 
mattress: smartest 
erasmus: masseur 
master: maters stream tamers 
matters: smatter 
mater: tamer 
mesa: same seam 
mesas: seams 
amuses: assume 
mates: meats steam tames teams 
mattes: tamest 
mateys: mayest steamy 
exams: maxes 
samey: seamy 
mate: meat tame team 
matey: meaty 
tannest: tenants 
postseason: soapstones 
soapstone: teaspoons 
pearson: persona 
patroness: transpose 
operant: pronate protean 
reason: senora 
reasons: senoras 
assentor: senators treasons 
senator: treason 
atoner: ornate 
aeons: saone 
atone: oaten 
nape: neap pane 
napper: rappen 
nappers: snapper 
pasterns: raptness 
entraps: napster parents pastern 
patterns: transept 
entrap: parent 
aspen: napes neaps panes 
aptness: patness 
arne: earn near 
errant: ranter 
warner: warren 
earns: nares nears saner snare 
nasser: snares 
answers: rawness 
astern: sterna 
natures: saunter 
servant: taverns 
vaunter: ventura 
raven: verna 
yaren: yearn 
sane: sean 
assent: sanest 
antes: nates 
attunes: tautens tetanus 
austen: unseat 
evans: naves vanes 
wanes: weans 
ante: etna neat 
attune: tauten 
taney: yenta 
evan: nave neva vane 
anew: wane wean 
praetors: prorates 
praetor: prorate 
overpass: passover 
equator: quorate 
assertor: assorter roasters 
rosetta: rotates 
arouse: roseau 
ape: pea 
papers: sapper 
papery: prepay yapper 
earp: pare pear rape reap 
parer: raper 
parers: parser rapers sparer 
resprays: sprayers 
prayers: respray sprayer 
prewar: rewrap warper 
pares: parse pears rapes reaps spare 
parses: passer 
repass: spares sparse 
sparsest: trespass 
repasts: sparest 
paters: prates repast tapers 
patters: spatter tapster 
pasteur: pasture 
payers: repays 
apter: pater petra prate taper 
payer: peary repay 
apes: apse peas 
apses: passe 
pastes: spates stapes 
paste: pates peats septa spate tapes 
pate: peat tape 
quartets: squatter 
are: ear era rae 
rare: rear 
rares: rears serra 
arrests: starers 
restarts: starters 
arrest: rarest raster raters sartre starer 
ratters: restart starter 
ratter: tarter 
ares: arse ears eras 
sear: sera 
assert: asters stares 
swears: wrasse 
aster: rates resat stare tares tears 
taster: taters tetras treats 
tartest: tatters 
astuter: stature 
stewart: swatter 
averts: starve vaster 
rawest: waster waters 
extras: taxers 
avers: raves saver 
sawer: swear wares wears 
sayer: years 
rate: tare tear 
tater: tetra treat 
extra: taxer 
aver: rave vera 
ware: wear 
aery: ayer yare year 
ezra: raze 
assess: sasses 
asset: easts sates seats 
states: tastes 
astutest: statutes 
sweats: wastes 
saves: vases 
east: eats etas sate seat teas 
state: taste 
statute: tautest 
astute: statue 
stave: vesta 
sweat: waste 
taxes: texas 
yeast: yeats 
save: vase 
ayes: easy yeas 
ate: eat eta tea 
etta: teat 
aye: yea 
funfairs: ruffians 
funfair: ruffian 
foaling: loafing 
farming: framing 
raftings: strafing 
farting: rafting 
hafts: shaft 
filtrations: flirtations 
filtration: flirtation 
fakir: kafir 
pailfuls: pailsful 
formalin: informal 
flatiron: inflator 
flair: frail 
fain: naif 
friary: rarify 
fiat: taif 
fallouts: outfalls 
fallout: outfall 
armfuls: armsful 
foal: loaf 
foals: loafs 
aloft: float 
faults: flatus 
fauns: snafu 
afro: faro fora 
oafs: sofa 
ofay: yafo 
farts: frats rafts 
fart: frat raft 
frau: urfa 
fast: fats 
aft: fat 
laggings: slagging 
ganging: nagging 
gnashing: hangings 
ganglions: singalong 
grayling: ragingly 
aging: nigga 
gaping: paging 
agings: niggas 
gazing: niggaz 
loathingly: tallyhoing 
algorithms: logarithms 
algorithm: logarithm 
spanglish: splashing 
hassling: lashings slashing 
halting: lathing 
mashing: shaming 
phrasing: sharping 
phasing: shaping 
garnish: sharing 
hastings: stashing 
swashing: washings 
gnash: hangs 
gash: hags shag 
alining: nailing 
intaglios: isolating ligations 
intaglio: ligation 
trailing: trialing 
rivaling: virginal 
intagli: tailing 
amortising: migrations 
ingrain: raining 
straining: trainings 
aspiring: pairings praising 
airings: arising raising 
makings: masking 
narking: ranking 
kayoing: okaying 
parkings: sparking 
skating: staking takings tasking 
gail: gila 
galliums: gaullism 
allotting: totalling 
sallying: signally 
gilman: laming malign 
lapsing: palings sapling 
platings: stapling 
palsying: splaying 
aligns: signal 
lasting: salting slating staling 
salving: slaving 
organism: roamings 
arming: margin 
migrants: smarting 
mating: taming 
amigo: imago 
agism: sigma 
gain: gina 
spawning: wingspan 
attuning: taunting 
awning: waning 
parroting: prorating 
garrison: roarings 
signora: soaring 
assorting: organists roastings 
organist: roasting 
gyrations: signatory 
toasting: tsingtao 
strapping: trappings 
paring: raping 
parings: parsing rasping sparing 
parting: prating 
arsing: grains 
gratins: ratings staring 
stingray: straying 
gratin: rating taring 
ratting: tarting 
assigns: sassing 
giants: sating 
stating: tasting 
staying: stygian 
agist: gaits 
gal: lag 
along: anglo logan 
glans: slang 
gaol: goal olga 
gaols: goals lagos 
gals: lags 
slags: slags 
groomsman: monograms 
among: mango 
organon: rangoon 
argon: groan orang organ 
argons: groans organs sargon sarong 
tango: tonga 
prangs: sprang 
gran: rang 
angry: rangy 
nags: sang snag 
angst: gnats tangs 
gnat: tang 
ago: goa 
argots: gators groats 
argot: gator groat 
goats: togas 
goya: yoga 
gaps: gasp 
gar: rag 
gars: rags 
argus: sugar 
gary: gray 
gas: sag 
stag: tags 
swag: wags 
ah: ha 
hash: shah 
isthmian: thiamins 
palish: phials 
aphorism: morphias 
poisha: sophia 
aphis: apish 
harris: sirrah 
hairs: shari 
ankh: hank khan 
ankhs: hanks khans shank 
harks: shark 
hallows: shallow 
halls: shall 
harlow: warhol 
halos: shoal 
altho: loath 
haply: phyla 
hals: lash 
halts: laths shalt 
hauls: hulas 
halt: lath 
haul: hula 
huntsman: manhunts 
hampton: phantom 
hamsun: humans 
human: nahum 
mashups: smashup 
harms: marsh 
hams: mash sham 
shams: smash 
maths: maths 
han: nah 
hans: nash 
haunts: sunhat 
haunt: utahn 
pashto: pathos potash 
hoar: hora 
authors: suharto 
hosta: oaths shoat 
hap: pah 
harps: sharp 
haps: hasp 
paths: staph 
path: phat 
harts: rasht trash 
arhus: surah 
hart: thar 
ash: has 
hast: hats shat 
swath: thaws whats 
haws: shaw wash 
ashy: hays shay 
thaw: what 
visitation: vitiations 
mutilations: stimulation 
positional: spoliation 
nativism: vitamins 
nitrations: transition 
insinuator: ruinations urinations 
ruination: urination 
attrition: titration 
nativist: visitant 
satirists: sitarists 
satirist: sitarist 
jinan: ninja 
kumasi: umiaks 
akin: kina 
ail: ali 
illampu: pallium 
littorals: tortillas 
littoral: tortilla 
liam: lima mail mali 
olympian: palimony 
alumni: lumina 
mutilators: stimulator 
